WC_1, fd, WC_1_door
WC_1_door, tl, hallway_5-1u
WC_1_door, tr, hallway_5-2d
conferenceRoom_1, fd, conferenceRoom_1_door
conferenceRoom_1_door, s, pantry_1
conferenceRoom_1_door, tl, hallway_6-2u
conferenceRoom_1_door, tr, hallway_6-3d
conferenceRoom_2, fd, conferenceRoom_2_door
conferenceRoom_2_door, cf, openspace_1-2l
conferenceRoom_2_door, tl, hallway_7-9d
conferenceRoom_2_door, tr, hallway_7-10u
copyRoom_1, fd, copyRoom_1_door
copyRoom_1_door, s, office_9
copyRoom_1_door, tl, hallway_6-17d
copyRoom_1_door, tr, hallway_6-16u
hallway_1-1l, s, office_12
hallway_1-1r, cf, hallway_1-2r
hallway_1-2l, cf, hallway_1-1l
hallway_1-2r, s, office_14
hallway_1-2r, tl, hallway_1-3u
hallway_1-2r, tr, office_13
hallway_1-3d, s, office_13
hallway_1-3d, tl, office_14
hallway_1-3d, tr, hallway_1-2l
hallway_1-3u, cf, hallway_6-20u
hallway_2-1l, s, office_11
hallway_2-1l, tl, hallway_6-20d
hallway_2-1l, tr, hallway_6-19u
hallway_2-1r, cf, hallway_2-2r
hallway_2-2l, cf, hallway_2-1l
hallway_2-2r, cf, hallway_2-3r
hallway_2-2r, tr, hallway_8-1d
hallway_2-3l, cf, hallway_2-2l
hallway_2-3l, tl, hallway_8-1d
hallway_2-3r, cf, hallway_2-4r
hallway_2-4l, cf, hallway_2-3l
hallway_2-4r, cf, hallway_7-1d
hallway_3-1d, s, office_28
hallway_3-1d, tl, hallway_3-2r
hallway_3-1u, cf, hallway_7-1u
hallway_3-2l, tr, hallway_3-1u
hallway_3-2r, cf, hallway_3-3r
hallway_3-3l, cf, hallway_3-2l
hallway_3-3r, s, office_27
hallway_4-1d, cf, hallway_7-19d
hallway_5-1d, cf, hallway_5-2d
hallway_5-1d, tr, WC_1
hallway_5-2d, cf, hallway_6-1d
hallway_5-2u, cf, hallway_5-1u
hallway_5-2u, tl, WC_1
hallway_6-10d, cf, hallway_6-11d
hallway_6-10d, tl, openspace_1-1r
hallway_6-10d, tr, office_5
