WC_1, fd, WC_1_door
WC_1_door, tl, hallway_13-3r
WC_1_door, tr, hallway_13-2l
WC_2, fd, WC_2_door
WC_2_door, tl, hallway_13-5r
WC_2_door, tr, hallway_13-4l
conferenceRoom_1, fd, conferenceRoom_1_door
conferenceRoom_1_door, tl, hallway_9-3d
conferenceRoom_1_door, tr, hallway_9-4u
conferenceRoom_2, fd, conferenceRoom_2_door
conferenceRoom_2_door, tl, hallway_13-3l
conferenceRoom_2_door, tr, hallway_13-4r
conferenceRoom_3, fd, conferenceRoom_3_door
conferenceRoom_3_door, tl, hallway_2-11d
conferenceRoom_3_door, tr, hallway_2-12u
hallway_1-1d, cf, hallway_9-5d
hallway_1-1d, tr, hallway_13-1r
hallway_1-1d, tr, hallway_3-4l
hallway_1-1u, cf, hallway_1-2u
hallway_1-2d, cf, hallway_1-1d
hallway_10-1d, cf, hallway_10-2d
hallway_10-1d, tl, office_16
hallway_10-1u, cf, hallway_5-2u
hallway_10-2d, cf, hallway_10-3d
hallway_10-2d, tr, office_4
hallway_10-2u, cf, hallway_10-1u
hallway_10-2u, tr, office_16
hallway_10-3d, cf, hallway_10-4d
hallway_10-3d, tr, office_3
hallway_10-3u, cf, hallway_10-2u
hallway_10-3u, tl, office_4
hallway_10-4d, cf, hallway_10-5d
hallway_10-4u, cf, hallway_10-3u
hallway_10-4u, tl, office_3
hallway_10-5d, cf, hallway_10-6d
hallway_10-5d, tr, office_2
hallway_10-5u, cf, hallway_10-4u
hallway_10-6d, tl, hallway_3-1r
hallway_10-6d, tr, office_1
hallway_10-6u, cf, hallway_10-5u
hallway_10-6u, tl, office_2
hallway_11-1d, cf, hallway_11-2d
hallway_11-1u, cf, hallway_9-1u
hallway_11-1u, tl, hallway_3-4l
hallway_11-1u, tr, office_37
hallway_11-2d, cf, hallway_11-3d
hallway_11-2d, tr, storage_2_door
hallway_11-2u, cf, hallway_11-1u
hallway_11-3d, cf, hallway_11-4d
hallway_11-3u, cf, hallway_11-2u
hallway_11-3u, tl, storage_2_door
hallway_11-4d, s, office_34
hallway_11-4d, tl, hallway_4-1r
hallway_11-4u, cf, hallway_11-3u
hallway_12-1d, s, office_31
hallway_12-1d, tr, hallway_4-4l
hallway_12-1u, cf, hallway_12-2u
hallway_12-2d, cf, hallway_12-1d
hallway_12-2u, cf, hallway_12-3u
hallway_12-2u, tr, storage_1
hallway_12-3d, cf, hallway_12-2d
hallway_12-3d, tl, storage_1
hallway_12-3u, cf, hallway_12-4u
hallway_12-4d, cf, hallway_12-3d
hallway_12-4u, tr, hallway_14-1r
hallway_13-1l, cf, hallway_3-4l
hallway_13-1l, tl, hallway_9-5d
hallway_13-1l, tr, hallway_1-1u
hallway_13-1r, cf, hallway_13-2r
hallway_13-2l, cf, hallway_13-1l
hallway_13-2r, cf, hallway_13-3r
hallway_13-2r, tl, WC_1
hallway_13-3l, cf, hallway_13-2l
hallway_13-3l, tr, WC_1
hallway_13-3r, cf, hallway_13-4r
hallway_13-3r, tr, conferenceRoom_2
hallway_13-4l, cf, hallway_13-3l
hallway_13-4l, tl, conferenceRoom_2
hallway_13-4r, cf, hallway_13-5r
hallway_13-4r, tl, WC_2
hallway_13-5l, cf, hallway_13-4l
hallway_13-5l, tr, WC_2
hallway_13-5r, s, office_41
hallway_13-5r, tl, hallway_2-8u
hallway_13-5r, tr, hallway_2-7d
hallway_14-1l, tl, hallway_12-4d
hallway_14-1r, cf, hallway_14-2r
hallway_14-1r, tr, office_30
hallway_14-2l, cf, hallway_14-1l
hallway_14-2l, tl, office_30
hallway_14-2r, cf, hallway_14-3r
hallway_14-3l, cf, hallway_14-2l
hallway_14-3r, s, office_29
hallway_14-3r, tl, hallway_2-1u
hallway_2-10d, cf, hallway_2-9d
hallway_2-10d, tl, office_41
hallway_2-10u, cf, hallway_2-11u
hallway_2-11d, cf, hallway_2-10d
hallway_2-11u, cf, hallway_2-12u
hallway_2-11u, tr, conferenceRoom_3
hallway_2-12d, cf, hallway_2-11d
hallway_2-12d, tl, conferenceRoom_3
hallway_2-12u, cf, hallway_2-13u
hallway_2-12u, tl, office_40
hallway_2-13d, cf, hallway_2-12d
hallway_2-13d, tr, office_40
hallway_2-13u, cf, hallway_2-14u
hallway_2-13u, tl, storage_4
hallway_2-14d, cf, hallway_2-13d
hallway_2-14d, tr, storage_4
hallway_2-14u, cf, hallway_2-15u
hallway_2-15d, cf, hallway_2-14d
hallway_2-15u, cf, hallway_2-16u
hallway_2-15u, tr, office_26
hallway_2-16d, cf, hallway_2-15d
hallway_2-16d, tl, office_26
hallway_2-16u, cf, hallway_2-17u
hallway_2-16u, tr, office_25
hallway_2-17d, cf, hallway_2-16d
hallway_2-17d, tl, office_25
hallway_2-17u, cf, hallway_2-18u
hallway_2-18d, cf, hallway_2-17d
hallway_2-18u, cf, hallway_2-19u
hallway_2-18u, tr, office_24
hallway_2-19d, cf, hallway_2-18d
hallway_2-19d, tl, office_24
hallway_2-1d, tl, office_29
hallway_2-1d, tr, hallway_14-3l
hallway_2-1u, cf, hallway_2-2u
hallway_2-1u, tl, storage_2
hallway_2-2d, cf, hallway_2-1d
hallway_2-2d, tr, storage_2
hallway_2-2u, cf, hallway_2-3u
hallway_2-2u, tr, office_29
hallway_2-3d, cf, hallway_2-2d
hallway_2-3d, tl, office_29
hallway_2-3u, cf, hallway_2-4u
hallway_2-4d, cf, hallway_2-3d
hallway_2-4u, cf, hallway_2-5u
hallway_2-4u, tr, office_28
hallway_2-5d, cf, hallway_2-4d
hallway_2-5d, tl, office_28
hallway_2-5u, cf, hallway_2-6u
hallway_2-5u, tr, office_27
hallway_2-6d, cf, hallway_2-5d
hallway_2-6d, tl, office_27
hallway_2-6u, cf, hallway_2-7u
hallway_2-7d, cf, hallway_2-6d
hallway_2-7u, cf, hallway_2-8u
hallway_2-7u, tl, hallway_13-5l
hallway_2-7u, tr, office_41
hallway_2-8d, cf, hallway_2-7d
hallway_2-8d, tl, office_41
hallway_2-8d, tr, hallway_13-5l
hallway_2-8u, cf, hallway_2-9u
hallway_2-9d, cf, hallway_2-8d
hallway_2-9u, cf, hallway_2-10u
hallway_2-9u, tr, office_41
hallway_3-1l, s, office_1
hallway_3-1l, tr, hallway_10-6u
hallway_3-1r, cf, hallway_3-2r
hallway_3-2l, cf, hallway_3-1l
hallway_3-2r, cf, hallway_3-3r
hallway_3-2r, tr, office_35
hallway_3-3l, cf, hallway_3-2l
hallway_3-3l, tl, office_35
hallway_3-3r, cf, hallway_3-4r
hallway_3-4l, cf, hallway_3-3l
hallway_3-4l, cf, hallway_7-3l
hallway_3-4r, cf, hallway_13-1r
hallway_3-4r, s, office_37
hallway_3-4r, tl, hallway_1-1u
hallway_3-4r, tl, hallway_9-1u
hallway_3-4r, tr, hallway_11-1d
hallway_3-4r, tr, hallway_9-5d
hallway_4-1l, tl, office_34
hallway_4-1l, tr, hallway_11-4u
hallway_4-1r, cf, hallway_4-2r
hallway_4-1r, tr, office_33
hallway_4-2l, cf, hallway_4-1l
hallway_4-2l, tl, office_33
hallway_4-2r, cf, hallway_4-3r
hallway_4-3l, cf, hallway_4-2l
hallway_4-3r, cf, hallway_4-4r
hallway_4-3r, tr, office_32
hallway_4-4l, cf, hallway_4-3l
hallway_4-4l, tl, office_32
hallway_4-4r, tl, hallway_12-1u
hallway_4-4r, tr, office_31
hallway_5-1d, cf, hallway_5-2d
hallway_5-1d, tl, hallway_7-1r
hallway_5-1d, tr, office_5
hallway_5-2d, cf, hallway_10-1d
hallway_5-2u, cf, hallway_5-1u
hallway_5-2u, tl, office_5
hallway_5-2u, tr, hallway_7-1r
hallway_7-1l, s, office_5
hallway_7-1l, tl, hallway_5-2d
hallway_7-1l, tr, hallway_5-1u
hallway_7-1r, cf, hallway_7-2r
hallway_7-2l, cf, hallway_7-1l
hallway_7-2r, cf, hallway_7-3r
hallway_7-2r, tl, office_17
hallway_7-3l, cf, hallway_7-2l
hallway_7-3l, tr, office_17
hallway_7-3r, cf, hallway_3-4r
hallway_9-1d, cf, hallway_11-1d
hallway_9-1d, tl, office_37
hallway_9-1d, tr, hallway_3-4l
hallway_9-1u, cf, hallway_9-2u
hallway_9-1u, tl, office_36
hallway_9-2d, cf, hallway_9-1d
hallway_9-2d, tr, office_36
hallway_9-2u, cf, hallway_9-3u
hallway_9-3d, cf, hallway_9-2d
hallway_9-3u, cf, hallway_9-4u
hallway_9-3u, tr, conferenceRoom_1
hallway_9-4d, cf, hallway_9-3d
hallway_9-4d, tl, conferenceRoom_1
hallway_9-4u, cf, hallway_9-5u
hallway_9-5d, cf, hallway_9-4d
hallway_9-5u, cf, hallway_1-1u
hallway_9-5u, tl, hallway_3-4l
hallway_9-5u, tr, hallway_13-1r
office_1, fd, office_1_door
office_16, fd, office_16_door
office_16_door, tl, hallway_10-2d
office_16_door, tr, hallway_10-1u
office_17, fd, office_17_door
office_17_door, tl, hallway_7-3r
office_17_door, tr, hallway_7-2l
office_1_door, cf, hallway_3-1r
office_1_door, tl, hallway_10-6u
office_2, fd, office_2_door
office_24, fd, office_24_door
